category,n_observed,n_observed_traded,n_disputed,n_amended,n_result_changed,n_still_in_review,disputed_median_s,amended_median_s
Crypto,56700,3121,0,0,0,0,,
Commodities,19101,3780,0,0,0,0,,
Sports,14561,9189,0,0,0,0,,
Financials,9241,1197,0,0,0,0,,
Climate and Weather,6705,4827,0,0,0,0,,
Entertainment,4085,1471,0,0,0,0,,
Economics,3812,3397,0,0,0,0,,
Mentions,873,406,5,5,0,0,8853.079531,4910.374664
(unknown series),446,365,0,0,0,0,,
Science and Technology,285,145,0,0,0,0,,
Politics,194,115,0,0,0,0,,
Elections,96,87,0,0,0,0,,
World,10,0,0,0,0,0,,
Health,9,0,0,0,0,0,,
Companies,5,0,0,0,0,0,,
