category,n,close_to_settle_p50_s,close_to_settle_p90_s,close_to_settle_p99_s,expected_exp_to_settle_p50_s,expected_exp_to_settle_p90_s,share_settled_before_expected_exp,n_traded,close_to_settle_p50_s_traded,close_to_settle_p90_s_traded,close_to_settle_p99_s_traded,expected_exp_to_settle_p50_s_traded
Crypto,9752782,175.509091,1897.133729,4207.944778,-124.51551,1597.132944,0.7125187459332116,873743,162.964343,1867.1257984000001,8040.63512694,-137.311221
Financials,2684027,218.49851,8041.580085599999,23820.797383,209.954627,7620.9960554,0.007604990560825208,276962,1805.0065650000001,18180.630972,90015.008665,225.278752
Sports,2137613,361.767592,369.5615132,3203.07039955997,-810.509017,4504.4496902,0.5901863433652397,1703183,360.994051,368.6236708,1868.78803668,-1104.303014
Climate and Weather,240743,5471.146673,46862.108301,471345.669461,4545.462934,9061.0037386,0.3067461982279859,182947,11205.530723,38680.184573,135000.733563,3947.044364
Commodities,229977,3785.481368,5511.646148,18229522.700745,3785.479756,5507.925029,0.05722746187662244,109892,3781.148145,5708.462981,210659.81176399998,3781.1475
Entertainment,109823,39216.824896,126139.806847,301446.48014400003,-685768.723128,30827.97197,0.6580952987989765,54549,33385.15176,126743.3803734,291739.970357,-72585.509704
Mentions,65127,1861.563504,43212.638298200014,254513.96188031998,-78192.029031,38990.801477,0.7409522932117247,64842,1861.5041345,42971.285073100036,220590.1205747196,-78258.50988299999
Economics,30846,25595.481257,83040.8397365,749791.072224,-3844.461463,86433.43876,0.6374983789391778,24408,25591.760834,50850.75053,538801.94356668,-3265.541326
Politics,13828,4170.6121745,48421.229474,785602.76094379,2283.869716,91500.875697,0.4661556262655482,12792,4244.4507,47880.854165,385020.533245,2271.566243
Elections,8798,1804.248021,1809.731752,39090.64264416,-13182513.52656,115835.275952,0.8639463514435098,8429,1804.281559,1809.5992596,34335.50970887999,-13219645.240146
Science and Technology,3975,6906.356631,66267.8385255999,869731.561922,5360.952566,68706.654027,0.2971069182389937,3731,7662.367017,67262.810631,913294.6065230886,5491.138833
Transportation,1579,47040.980264,134400.842488,393481.23243846,90960.4423695,198060.611049,0.06487549148099607,1104,47100.296386500006,133861.28362399997,393420.81470433,90901.337353
Health,638,90420.65486149999,262980.8534919,2810906.729723,263100.841211,1366207.4217698001,0.06750392464678179,631,90420.664472,262981.086552,2810906.729723,265500.340502
Companies,462,8979.189949,129961.04423929998,335281.06184701,-77638.672266,58013.24968000001,0.8138528138528138,400,8703.577717,129961.04824789999,335280.6116152,-78599.270369
World,386,46861.659574,246660.58077300002,564542.477527,18081.218596,831909.592329,0.4015544041450777,340,51057.3453325,246660.5575464,564542.477527,92910.50691699999
Social,106,2533.785113,88551.258938,7091546.418995308,-921204.214718,6216.3339345,0.839622641509434,70,1822.745279,59460.1566149,1037183.0838054765,-581455.850297
AI,2,1805.4795645,1805.4796265,1805.47964045,-10494174.5204355,-10494174.5203735,1.0,2,1805.4795645,1805.4796265,1805.47964045,-10494174.5204355
Education,1,127915.184603,127915.184603,127915.184603,18225055.184603,18225055.184603,0.0,1,127915.184603,127915.184603,127915.184603,18225055.184603
