category,n,n_nonbinary,n_result_scalar,n_result_other,share_nonbinary,volume_total,volume_nonbinary,volume_share_nonbinary,n_traded,n_nonbinary_traded,share_nonbinary_traded
Crypto,9752782,38,38,0,3.8963241462794925e-06,27789998172.86978,79123.18000000001,2.847181907239011e-06,873743,32,3.662404162322331e-05
Financials,2684027,44,44,0,1.6393277712929117e-05,876641893.5399997,699017.0499999999,0.0007973803843406041,276962,44,0.00015886655931138566
Sports,2137613,34453,34453,0,0.016117510512894524,117705025885.20195,280059469.88999987,0.002379333148978215,1703183,18722,0.010992359599643725
Climate and Weather,240743,308,308,0,0.0012793726089647467,1094062445.6400008,829618.4299999999,0.0007582916617841613,182947,183,0.0010002897013889269
Commodities,229977,0,0,0,0.0,870759081.3200008,0.0,0.0,109892,0,0.0
Entertainment,109823,38,38,0,0.00034601130910647134,1090120239.6200008,21063046.74,0.01932176467739215,54549,34,0.0006232928193000789
Mentions,65127,130,130,0,0.0019960999278333105,1236396605.1499994,2139538.01,0.0017304625401656061,64842,130,0.002004873384534715
Economics,30846,22,22,0,0.0007132205148155352,948762806.6400003,2126961.7,0.0022418266031449282,24408,18,0.0007374631268436578
Politics,13828,52,52,0,0.0037604859704946487,2277255847.8700004,4865063.97,0.002136371270953358,12792,42,0.003283302063789869
Elections,8798,40,40,0,0.004546487838145033,1331540145.22,46064787.34,0.03459511716966602,8429,39,0.004626883378811247
Science and Technology,3975,1,1,0,0.00025157232704402514,155739579.01999998,15004.0,9.634031435305983e-05,3731,1,0.0002680246582685607
Transportation,1579,0,0,0,0.0,2619655.0,0.0,0.0,1104,0,0.0
Health,638,6,6,0,0.009404388714733543,9070952.0,38042.0,0.004193826623710499,631,6,0.009508716323296355
Companies,462,8,8,0,0.017316017316017316,84319970.73999998,9913.74,0.0001175728586359327,400,8,0.02
World,386,0,0,0,0.0,5980729.96,0.0,0.0,340,0,0.0
Social,106,1,1,0,0.009433962264150943,1723313.0,1.0,5.802776396394619e-07,70,1,0.014285714285714285
AI,2,0,0,0,0.0,13841.619999999999,0.0,0.0,2,0,0.0
Education,1,0,0,0,0.0,4182.0,0.0,0.0,1,0,0.0
